Title,Author,Abstract,Title_URL,Year,Publish,IF,Quote
Whole-genome analysis of introgressive hybridization and characterization of the bovine legacy of Mongolian yaks.,"Medugorac I, Graf A, Grohs C, Rothammer S, Zagdsuren Y, Gladyr E, Zinovieva N, Barbieri J, Seichter D, Russ I, Eggen A, Hellenthal G, Brem G, Blum H, Krebs S, Capitan A.","The yak is remarkable for its adaptation to high altitude and occupies a central place in the economies of the mountainous regions of Asia. At lower elevations, it is common to hybridize yaks with cattle to combine the yak's hardiness with the productivity of cattle. Hybrid males are sterile, however, preventing the establishment of stable hybrid populations, but not a limited introgression after backcrossing several generations of female hybrids to male yaks. Here we inferred bovine haplotypes in the genomes of 76 Mongolian yaks using high-density SNP genotyping and whole-genome sequencing. These yaks inherited 鈭?.3% of their genome from bovine ancestors after nearly continuous admixture over at least the last 1,500 years. The introgressed regions are enriched in genes involved in nervous system development and function, and particularly in glutamate metabolism and neurotransmission. We also identified a novel mutation associated with a polled (hornless) phenotype originating from Mongolian Turano cattle. Our results suggest that introgressive hybridization contributed to the improvement of yak management and breeding.",https://www.ncbi.nlm.nih.gov/pubmed/28135247,2017,Nat Genet,27.125,18
Increased dietary protein in the second trimester of gestation increases live weight gain and carcass composition in weaner calves to 6 months of age.,"Miguel-Pacheco GG, Curtain LD, Rutland C, Knott L, Norman ST, Phillips NJ, Perry VEA.","Genetically similar nulliparous Polled Hereford heifers from a closed pedigree herd were used to evaluate the effects of dietary protein during the first and second trimester of gestation upon foetal, placental and postnatal growth. Heifers were randomly allocated into two groups at 35 days after artificial insemination (35 days post conception (dpc)) to a single bull and fed high (15.7% CP) or low (5.9% CP) protein in the first trimester (T1). At 90 dpc, half of each nutritional treatment group changed to a high- or low-protein diet for the second trimester until 180 dpc (T2). High protein intake in the second trimester increased birth weight in females (P=0.05), but there was no effect of treatment upon birth weight when taken over both sexes. Biparietal diameter was significantly increased by high protein in the second trimester with the effect being greater in the female (P=0.02), but also significant overall (P=0.05). Placental weight was positively correlated with birth weight, fibroblast volume and relative blood vessel volume (P<0.05). Placental fibroblast density was increased and trophoblast volume decreased in the high-protein first trimester treatment group (P<0.05). There was a trend for placental weight to be increased by high protein in the second trimester (P=0.06). Calves from heifers fed the high-protein treatment in the second trimester weighed significantly more on all occasions preweaning (at 1 month (P=0.0004), 2 months (P=0.006), 3 months (P=0.002), 4 months (P=0.01), 5 months (P=0.03), 6 months (P=0.001)), and grew at a faster rate over the 6-month period. By 6 months of age, the calves from heifers fed high nutrition in the second trimester weighed 33 kg heavier than those fed the low diet in the second trimester. These results suggest that dietary protein in early pregnancy alters the development of the bovine placenta and calf growth to weaning.",https://www.ncbi.nlm.nih.gov/pubmed/27821224,2017,Animal,1.87,2
Low mitochondrial DNA diversity of Japanese Polled and Kuchinoshima feral cattle.,"Mannen H, Yonesaka R, Noda A, Shimogiri T, Oshima I, Katahira K, Kanemaki M, Kunieda T, Inayoshi Y, Mukai F, Sasazaki S.","This study aims to estimate the mitochondrial genetic diversity and structure of Japanese Polled and Kuchinoshima feral cattle, which are maintained in small populations. We determined the mitochondrial DMA (mtDNA) displacement loop (D-loop) sequences for both cattle populations and analyzed these in conjunction with previously published data from Northeast Asian cattle populations. Our findings showed that Japanese native cattle have a predominant, Asian-specific mtDNA haplogroup T4 with high frequencies (0.43-0.81). This excluded Kuchinoshima cattle (32 animals), which had only one mtDNA haplotype belonging to the haplogroup T3. Japanese Polled showed relatively lower mtDNA diversity in the average sequence divergence (0.0020) than other Wagyu breeds (0.0036-0.0047). Japanese Polled have been maintained in a limited area of Yamaguchi, and the population size is now less than 200. Therefore, low mtDNA diversity in the Japanese Polled could be explained by the decreasing population size in the last three decades. We found low mtDNA diversity in both Japanese Polled and Kuchinoshima cattle. The genetic information obtained in this study will be useful for maintaining these populations and for understanding the origin of Japanese native cattle.",https://www.ncbi.nlm.nih.gov/pubmed/27677652,2017,Anim Sci J,1.402,5
"Practices for the disbudding and dehorning of dairy calves by veterinarians and dairy producers in Ontario, Canada.","Winder CB, LeBlanc SJ, Haley DB, Lissemore KD, Godkin MA, Duffield TF.","Disbudding and dehorning dairy calves is very common, despite the introduction of polled genetics to most dairy breeds. Appropriate pain-control practices for these procedures affect both calf welfare and public perception of the dairy industry. Previously published work has shown that North American dairy producers have not widely adopted use of these medications for disbudding or dehorning. However, since the last published work examining these practices in Canada, changes regarding awareness, availability, and future requirements for pain control have occurred in the industry. With this in mind, online and telephone surveys of both veterinarians (n=238) and dairy producers (n=603) in Ontario, Canada, were conducted in the fall of 2014 with a goal of describing current disbudding and dehorning practices and examining factors associated with the adoption of pain control use. Approximately three-quarters of dairy producers reported performing disbudding or dehorning themselves, whereas the remainder used a veterinarian or technician. Almost all (97%) of the veterinarians surveyed reported using local anesthetic, 62% used sedation, and 48% used a nonsteroidal anti-inflammatory drug. Producer use of local anesthetic was 62%, 38% used sedation and 24% used a nonsteroidal anti-inflammatory drug. Seventy-eight percent of veterinarian disbudding or dehorning was done before 8wk of age, whereas 64% of dairy producers performed this procedure before 8wk of age. Seventy-two percent of veterinarians and 63% of producers reported changing their disbudding or dehorning practices over the past 10 yr; of producers that changed their practices, 73% cited their herd veterinarian as influential. The use of pain control described in these surveys is higher than previously reported in Ontario. Identification of factors associated with best practices, or the lack of adoption of these practices, may help veterinarians target appropriate educational opportunities for their dairy clients.",https://www.ncbi.nlm.nih.gov/pubmed/27665137,2016,J Dairy Sci,2.749,13
Accuracy of genomic breeding values for meat tenderness in Polled Nellore cattle.,"Magnabosco CU, Lopes FB, Fragoso RC, Eifert EC, Valente BD, Rosa GJ, Sainz RD.","Zebu () cattle, mostly of the Nellore breed, comprise more than 80% of the beef cattle in Brazil, given their tolerance of the tropical climate and high resistance to ectoparasites. Despite their advantages for production in tropical environments, zebu cattle tend to produce tougher meat than Bos taurus breeds. Traditional genetic selection to improve meat tenderness is constrained by the difficulty and cost of phenotypic evaluation for meat quality. Therefore, genomic selection may be the best strategy to improve meat quality traits. This study was performed to compare the accuracies of different Bayesian regression models in predicting molecular breeding values for meat tenderness in Polled Nellore cattle. The data set was composed of Warner-Bratzler shear force (WBSF) of longissimus muscle from 205, 141, and 81 animals slaughtered in 2005, 2010, and 2012, respectively, which were selected and mated so as to create extreme segregation for WBSF. The animals were genotyped with either the Illumina BovineHD (HD; 777,000 from 90 samples) chip or the GeneSeek Genomic Profiler (GGP Indicus HD; 77,000 from 337 samples). The quality controls of SNP were Hard-Weinberg Proportion -value 鈮?0.1%, minor allele frequency > 1%, and call rate > 90%. The FImpute program was used for imputation from the GGP Indicus HD chip to the HD chip. The effect of each SNP was estimated using ridge regression, least absolute shrinkage and selection operator (LASSO), Bayes A, Bayes B, and Bayes C蟺 methods. Different numbers of SNP were used, with 1, 2, 3, 4, 5, 7, 10, 20, 40, 60, 80, or 100% of the markers preselected based on their significance test (-value from genomewide association studies [GWAS]) or randomly sampled. The prediction accuracy was assessed by the correlation between genomic breeding value and the observed WBSF phenotype, using a leave-one-out cross-validation methodology. The prediction accuracies using all markers were all very similar for all models, ranging from 0.22 (Bayes C蟺) to 0.25 (Bayes B). When preselecting SNP based on GWAS results, the highest correlation (0.27) between WBSF and the genomic breeding value was achieved using the Bayesian LASSO model with 15,030 (3%) markers. Although this study used relatively few animals, the design of the segregating population ensured wide genetic variability for meat tenderness, which was important to achieve acceptable accuracy of genomic prediction. Although all models showed similar levels of prediction accuracy, some small advantages were observed with the Bayes B approach when higher numbers of markers were preselected based on their -values resulting from a GWAS analysis.",https://www.ncbi.nlm.nih.gov/pubmed/27482662,2016,J Anim Sci,1.711,5
Genome-wide Association Study Identifies Loci for the Polled Phenotype in Yak.,"Liang C, Wang L, Wu X, Wang K, Ding X, Wang M, Chu M, Xie X, Qiu Q, Yan P.","The absence of horns, known as the polled phenotype, is an economically important trait in modern yak husbandry, but the genomic structure and genetic basis of this phenotype have yet to be discovered. Here, we conducted a genome-wide association study with a panel of 10 horned and 10 polled yaks using whole genome sequencing. We mapped the POLLED locus to a 200-kb interval, which comprises three protein-coding genes. Further characterization of the candidate region showed recent artificial selection signals resulting from the breeding process. We suggest that expressional variations rather than structural variations in protein probably contribute to the polled phenotype. Our results not only represent the first and important step in establishing the genomic structure of the polled region in yak, but also add to our understanding of the polled trait in bovid species.",https://www.ncbi.nlm.nih.gov/pubmed/27389700,2016,PLoS One,2.766,4
Evaluation of breeding strategies for polledness in dairy cattle using a newly developed simulation framework for quantitative and Mendelian traits.,"Scheper C, Wensch-Dorendorf M, Yin T, Dressel H, Swalve H, K?nig S.",Intensified selection of polled individuals has recently gained importance in predominantly horned dairy cattle breeds as an alternative to routine dehorning. The status quo of the current polled breeding pool of genetically-closely related artificial insemination sires with lower breeding values for performance traits raises questions regarding the effects of intensified selection based on this founder pool.,https://www.ncbi.nlm.nih.gov/pubmed/27357942,2016,Genet Sel Evol,3.743,3
Selection Indices and Multivariate Analysis Show Similar Results in the Evaluation of Growth and Carcass Traits in Beef Cattle.,"Brito Lopes F, da Silva MC, Magnabosco CU, Goncalves Narciso M, Sainz RD.","This research evaluated a multivariate approach as an alternative tool for the purpose of selection regarding expected progeny differences (EPDs). Data were fitted using a multi-trait model and consisted of growth traits (birth weight and weights at 120, 210, 365 and 450 days of age) and carcass traits (longissimus muscle area (LMA), back-fat thickness (BF), and rump fat thickness (RF)), registered over 21 years in extensive breeding systems of Polled Nellore cattle in Brazil. Multivariate analyses were performed using standardized (zero mean and unit variance) EPDs. The k mean method revealed that the best fit of data occurred using three clusters (k = 3) (P < 0.001). Estimates of genetic correlation among growth and carcass traits and the estimates of heritability were moderate to high, suggesting that a correlated response approach is suitable for practical decision making. Estimates of correlation between selection indices and the multivariate index (LD1) were moderate to high, ranging from 0.48 to 0.97. This reveals that both types of indices give similar results and that the multivariate approach is reliable for the purpose of selection. The alternative tool seems very handy when economic weights are not available or in cases where more rapid identification of the best animals is desired. Interestingly, multivariate analysis allowed forecasting information based on the relationships among breeding values (EPDs). Also, it enabled fine discrimination, rapid data summarization after genetic evaluation, and permitted accounting for maternal ability and the genetic direct potential of the animals. In addition, we recommend the use of longissimus muscle area and subcutaneous fat thickness as selection criteria, to allow estimation of breeding values before the first mating season in order to accelerate the response to individual selection.",https://www.ncbi.nlm.nih.gov/pubmed/26789008,2016,PLoS One,2.766,3
A simple strategy for managing many recessive disorders in a dairy cattle breeding program.,Cole JB.,"High-density single nucleotide polymorphism genotypes have recently been used to identify a number of novel recessive mutations that adversely affect fertility in dairy cattle, as well as to track other conditions such as red coat color and polled. Most current methods for mate allocation fail to consider this information, and it will become increasingly difficult to manage matings as the number of recessive mutations to be accounted for increases.",https://www.ncbi.nlm.nih.gov/pubmed/26620491,2015,Genet Sel Evol,3.743,21
Considering genetic characteristics in German Holstein breeding programs.,"Segelke D, T?ubert H, Reinhardt F, Thaller G.","Recently, several research groups have demonstrated that several haplotypes may cause embryonic loss in the homozygous state. Up to now, carriers of genetic disorders were often excluded from mating, resulting in a decrease of genetic gain and a reduced number of sires available for the breeding program. Ongoing research is very likely to identify additional genetic defects causing embryonic loss and calf mortality by genotyping a large proportion of the female cattle population and sequencing key ancestors. Hence, a clear demand is present to develop a method combining selection against recessive defects (e.g., Holstein haplotypes HH1-HH5) with selection for economically beneficial traits (e.g., polled) for mating decisions. Our proposed method is a genetic index that accounts for the allele frequencies in the population and the economic value of the genetic characteristic without excluding carriers from breeding schemes. Fertility phenotypes from routine genetic evaluations were used to determine the economic value per embryo lost. Previous research has shown that embryo loss caused by HH1 and HH2 occurs later than the loss for HH3, HH4, and HH5. Therefore, an economic value of 鈧?97 was used against HH1 and HH2 and 鈧?70 against HH3, HH4, and HH5. For polled, 鈧?7 per polled calf was considered. Minor allele frequencies of the defects ranged between 0.8 and 3.3%. The polled allele has a frequency of 4.1% in the German Holstein population. A genomic breeding program was simulated to study the effect of changing the selection criteria from assortative mating based on breeding values to selecting the females using the genetic index. Selection for a genetic index on the female path is a useful method to control the allele frequencies by reducing undesirable alleles and simultaneously increasing economical beneficial characteristics maintaining most of the genetic gain in production and functional traits. Additionally, we applied the genetic index to real data and found a decrease of the genetic trend for the birth years 1990 to 2006. Since 2010 the genetic index has increased due to a strong increase in the polled frequency. However, further investigation is needed to better understand the biology to determine the correct time of embryo loss and the economic value of fertility disorders.",https://www.ncbi.nlm.nih.gov/pubmed/26601581,2016,J Dairy Sci,2.749,7
A High Percentage of Beef Bull Pictures in Semen Catalogues Have Feet and Lower Legs that Are Not Visible.,"Franks MK, Grandin T.","A total of 1379 beef bull pictures were surveyed to determine visibility of feet and legs from four American semen company websites. Five different breeds were represented: Angus, Red Angus, Hereford (polled and horned), Simmental, and Charolais. In addition to visibility, data on other variables were collected to establish frequencies and correlations. These included breed, color, material that obscured visibility, such as grass, picture taken at livestock show or outside, semen company, photographer, video, and age of bull. A foot and leg visibility score was given to each bull picture. Only 19.4% of the pictures had fully visible feet and legs. Both the hooves and dewclaws were hidden on 32.5% of the pictures. Correlation between bull's birthdate and the first four visibility scores was statistically significant (P < 0.0001). As age increased the feet and legs were more likely to be visible in the bull's picture. This may possibly be due to greater availability of both photo editing software and digital photography. One positive finding was that 6% of the bulls had a video of the bull walking which completely showed his feet and legs.",https://www.ncbi.nlm.nih.gov/pubmed/26479372,2015,Animals (Basel),1.654,0
